"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bat",0,615,0,"Phase1"
"A13","Bat",0,609,0,"Phase1"
"B02","Bat",0,499,0,"Phase1"
"B04","Bat",2,587,0.00340715502555366,"Phase1"
"B06","Bat",0,582,0,"Phase1"
"B08","Bat",0,633,0,"Phase1"
"B10","Bat",0,630,0,"Phase1"
"B12","Bat",0,603,0,"Phase1"
"B14","Bat",0,603,0,"Phase1"
"C03","Bat",0,621,0,"Phase1"
"C05","Bat",1,573,0.00174520069808028,"Phase1"
"C07","Bat",0,545,0,"Phase1"
"C09","Bat",2,626,0.00319488817891374,"Phase1"
"C11","Bat",3,486,0.00617283950617284,"Phase1"
"C15","Bat",0,567,0,"Phase1"
"C17","Bat",0,568,0,"Phase1"
"D04","Bat",5,641,0.0078003120124805,"Phase1"
"D06","Bat",0,577,0,"Phase1"
"D08","Bat",0,388,0,"Phase1"
"D10","Bat",0,422,0,"Phase1"
"D12","Bat",0,623,0,"Phase1"
"D14","Bat",0,573,0,"Phase1"
"D16","Bat",0,554,0,"Phase1"
"E05","Bat",0,615,0,"Phase1"
"E07","Bat",0,575,0,"Phase1"
"E09","Bat",1,629,0.00158982511923688,"Phase1"
"E11","Bat",0,576,0,"Phase1"
"E13","Bat",0,620,0,"Phase1"
"E15","Bat",0,613,0,"Phase1"
"E17","Bat",0,586,0,"Phase1"
"F04","Bat",0,507,0,"Phase1"
"F06","Bat",0,622,0,"Phase1"
"F08","Bat",0,626,0,"Phase1"
"F10","Bat",0,618,0,"Phase1"
"G09","Bat",1,589,0.00169779286926995,"Phase1"
"G11","Bat",0,590,0,"Phase1"
"A03","Bear",0,615,0,"Phase1"
"A13","Bear",0,609,0,"Phase1"
"B02","Bear",7,499,0.0140280561122244,"Phase1"
"B04","Bear",3,587,0.00511073253833049,"Phase1"
"B06","Bear",0,582,0,"Phase1"
"B08","Bear",0,633,0,"Phase1"
"B10","Bear",0,630,0,"Phase1"
"B12","Bear",0,603,0,"Phase1"
"B14","Bear",0,603,0,"Phase1"
"C03","Bear",20,621,0.0322061191626409,"Phase1"
"C05","Bear",6,573,0.0104712041884817,"Phase1"
"C07","Bear",0,545,0,"Phase1"
"C09","Bear",0,626,0,"Phase1"
"C11","Bear",0,486,0,"Phase1"
"C15","Bear",0,567,0,"Phase1"
"C17","Bear",0,568,0,"Phase1"
"D04","Bear",9,641,0.0140405616224649,"Phase1"
"D06","Bear",4,577,0.00693240901213172,"Phase1"
"D08","Bear",0,388,0,"Phase1"
"D10","Bear",0,422,0,"Phase1"
"D12","Bear",0,623,0,"Phase1"
"D14","Bear",0,573,0,"Phase1"
"D16","Bear",0,554,0,"Phase1"
"E05","Bear",4,615,0.00650406504065041,"Phase1"
"E07","Bear",3,575,0.00521739130434783,"Phase1"
"E09","Bear",0,629,0,"Phase1"
"E11","Bear",0,576,0,"Phase1"
"E13","Bear",0,620,0,"Phase1"
"E15","Bear",0,613,0,"Phase1"
"E17","Bear",0,586,0,"Phase1"
"F04","Bear",3,507,0.00591715976331361,"Phase1"
"F06","Bear",3,622,0.00482315112540193,"Phase1"
"F08","Bear",4,626,0.00638977635782748,"Phase1"
"F10","Bear",1,618,0.00161812297734628,"Phase1"
"G09","Bear",1,589,0.00169779286926995,"Phase1"
"G11","Bear",3,590,0.00508474576271186,"Phase1"
"A03","Bird",0,615,0,"Phase1"
"A13","Bird",11,609,0.0180623973727422,"Phase1"
"B02","Bird",410,499,0.821643286573146,"Phase1"
"B04","Bird",2,587,0.00340715502555366,"Phase1"
"B06","Bird",1,582,0.00171821305841924,"Phase1"
"B08","Bird",1,633,0.00157977883096367,"Phase1"
"B10","Bird",0,630,0,"Phase1"
"B12","Bird",2,603,0.0033167495854063,"Phase1"
"B14","Bird",34,603,0.0563847429519071,"Phase1"
"C03","Bird",14,621,0.0225442834138486,"Phase1"
"C05","Bird",0,573,0,"Phase1"
"C07","Bird",0,545,0,"Phase1"
"C09","Bird",2,626,0.00319488817891374,"Phase1"
"C11","Bird",4,486,0.00823045267489712,"Phase1"
"C15","Bird",2,567,0.00352733686067019,"Phase1"
"C17","Bird",5,568,0.00880281690140845,"Phase1"
"D04","Bird",3,641,0.0046801872074883,"Phase1"
"D06","Bird",18,577,0.0311958405545927,"Phase1"
"D08","Bird",3,388,0.0077319587628866,"Phase1"
"D10","Bird",1,422,0.0023696682464455,"Phase1"
"D12","Bird",1,623,0.00160513643659711,"Phase1"
"D14","Bird",4,573,0.00698080279232112,"Phase1"
"D16","Bird",2,554,0.0036101083032491,"Phase1"
"E05","Bird",16,615,0.0260162601626016,"Phase1"
"E07","Bird",5,575,0.00869565217391304,"Phase1"
"E09","Bird",10,629,0.0158982511923688,"Phase1"
"E11","Bird",2,576,0.00347222222222222,"Phase1"
"E13","Bird",5,620,0.00806451612903226,"Phase1"
"E15","Bird",0,613,0,"Phase1"
"E17","Bird",63,586,0.107508532423208,"Phase1"
"F04","Bird",5,507,0.00986193293885602,"Phase1"
"F06","Bird",0,622,0,"Phase1"
"F08","Bird",4,626,0.00638977635782748,"Phase1"
"F10","Bird",1,618,0.00161812297734628,"Phase1"
"G09","Bird",0,589,0,"Phase1"
"G11","Bird",3,590,0.00508474576271186,"Phase1"
"A03","Bobcat",1,615,0.0016260162601626,"Phase1"
"A13","Bobcat",3,609,0.00492610837438424,"Phase1"
"B02","Bobcat",6,499,0.0120240480961924,"Phase1"
"B04","Bobcat",6,587,0.010221465076661,"Phase1"
"B06","Bobcat",11,582,0.0189003436426117,"Phase1"
"B08","Bobcat",0,633,0,"Phase1"
"B10","Bobcat",9,630,0.0142857142857143,"Phase1"
"B12","Bobcat",2,603,0.0033167495854063,"Phase1"
"B14","Bobcat",4,603,0.0066334991708126,"Phase1"
"C03","Bobcat",14,621,0.0225442834138486,"Phase1"
"C05","Bobcat",2,573,0.00349040139616056,"Phase1"
"C07","Bobcat",2,545,0.0036697247706422,"Phase1"
"C09","Bobcat",2,626,0.00319488817891374,"Phase1"
"C11","Bobcat",4,486,0.00823045267489712,"Phase1"
"C15","Bobcat",16,567,0.0282186948853616,"Phase1"
"C17","Bobcat",2,568,0.00352112676056338,"Phase1"
"D04","Bobcat",3,641,0.0046801872074883,"Phase1"
"D06","Bobcat",5,577,0.00866551126516464,"Phase1"
"D08","Bobcat",1,388,0.00257731958762887,"Phase1"
"D10","Bobcat",0,422,0,"Phase1"
"D12","Bobcat",5,623,0.00802568218298555,"Phase1"
"D14","Bobcat",10,573,0.0174520069808028,"Phase1"
"D16","Bobcat",2,554,0.0036101083032491,"Phase1"
"E05","Bobcat",6,615,0.00975609756097561,"Phase1"
"E07","Bobcat",2,575,0.00347826086956522,"Phase1"
"E09","Bobcat",1,629,0.00158982511923688,"Phase1"
"E11","Bobcat",2,576,0.00347222222222222,"Phase1"
"E13","Bobcat",4,620,0.00645161290322581,"Phase1"
"E15","Bobcat",18,613,0.0293637846655791,"Phase1"
"E17","Bobcat",2,586,0.00341296928327645,"Phase1"
"F04","Bobcat",5,507,0.00986193293885602,"Phase1"
"F06","Bobcat",1,622,0.00160771704180064,"Phase1"
"F08","Bobcat",6,626,0.00958466453674121,"Phase1"
"F10","Bobcat",0,618,0,"Phase1"
"G09","Bobcat",4,589,0.0067911714770798,"Phase1"
"G11","Bobcat",2,590,0.00338983050847458,"Phase1"
"A03","Coyote",9,615,0.0146341463414634,"Phase1"
"A13","Coyote",27,609,0.0443349753694581,"Phase1"
"B02","Coyote",17,499,0.0340681362725451,"Phase1"
"B04","Coyote",36,587,0.0613287904599659,"Phase1"
"B06","Coyote",18,582,0.0309278350515464,"Phase1"
"B08","Coyote",7,633,0.0110584518167457,"Phase1"
"B10","Coyote",18,630,0.0285714285714286,"Phase1"
"B12","Coyote",18,603,0.0298507462686567,"Phase1"
"B14","Coyote",28,603,0.0464344941956882,"Phase1"
"C03","Coyote",35,621,0.0563607085346216,"Phase1"
"C05","Coyote",8,573,0.0139616055846422,"Phase1"
"C07","Coyote",3,545,0.0055045871559633,"Phase1"
"C09","Coyote",1,626,0.00159744408945687,"Phase1"
"C11","Coyote",13,486,0.0267489711934156,"Phase1"
"C15","Coyote",25,567,0.0440917107583774,"Phase1"
"C17","Coyote",45,568,0.0792253521126761,"Phase1"
"D04","Coyote",69,641,0.107644305772231,"Phase1"
"D06","Coyote",26,577,0.0450606585788562,"Phase1"
"D08","Coyote",3,388,0.0077319587628866,"Phase1"
"D10","Coyote",7,422,0.0165876777251185,"Phase1"
"D12","Coyote",25,623,0.0401284109149278,"Phase1"
"D14","Coyote",13,573,0.0226876090750436,"Phase1"
"D16","Coyote",16,554,0.0288808664259928,"Phase1"
"E05","Coyote",22,615,0.0357723577235772,"Phase1"
"E07","Coyote",9,575,0.0156521739130435,"Phase1"
"E09","Coyote",9,629,0.014308426073132,"Phase1"
"E11","Coyote",24,576,0.0416666666666667,"Phase1"
"E13","Coyote",15,620,0.0241935483870968,"Phase1"
"E15","Coyote",16,613,0.0261011419249592,"Phase1"
"E17","Coyote",11,586,0.0187713310580205,"Phase1"
"F04","Coyote",10,507,0.019723865877712,"Phase1"
"F06","Coyote",4,622,0.00643086816720257,"Phase1"
"F08","Coyote",9,626,0.0143769968051118,"Phase1"
"F10","Coyote",10,618,0.0161812297734628,"Phase1"
"G09","Coyote",3,589,0.00509337860780985,"Phase1"
"G11","Coyote",8,590,0.0135593220338983,"Phase1"
"A03","Deer - Buck Antlerless",3,615,0.0048780487804878,"Phase1"
"A13","Deer - Buck Antlerless",1,609,0.00164203612479475,"Phase1"
"B02","Deer - Buck Antlerless",10,499,0.0200400801603206,"Phase1"
"B04","Deer - Buck Antlerless",37,587,0.0630323679727428,"Phase1"
"B06","Deer - Buck Antlerless",0,582,0,"Phase1"
"B08","Deer - Buck Antlerless",2,633,0.00315955766192733,"Phase1"
"B10","Deer - Buck Antlerless",3,630,0.00476190476190476,"Phase1"
