"Camera","Class","Count","Operation","RAI","TimePeriod"
"B08","Coyote",0,9,0,"march.2016"
"B10","Coyote",0,9,0,"march.2016"
"C09","Coyote",0,9,0,"march.2016"
"D04","Coyote",1,10,0.1,"march.2016"
"E09","Coyote",0,9,0,"march.2016"
"F08","Coyote",0,9,0,"march.2016"
"B08","Deer - Buck Antlerless",0,9,0,"march.2016"
"B10","Deer - Buck Antlerless",2,9,0.222222222222222,"march.2016"
"C09","Deer - Buck Antlerless",0,9,0,"march.2016"
"D04","Deer - Buck Antlerless",0,10,0,"march.2016"
"E09","Deer - Buck Antlerless",4,9,0.444444444444444,"march.2016"
"F08","Deer - Buck Antlerless",1,9,0.111111111111111,"march.2016"
"B08","Deer - Buck Spike",0,9,0,"march.2016"
"B10","Deer - Buck Spike",0,9,0,"march.2016"
"C09","Deer - Buck Spike",0,9,0,"march.2016"
"D04","Deer - Buck Spike",1,10,0.1,"march.2016"
"E09","Deer - Buck Spike",1,9,0.111111111111111,"march.2016"
"F08","Deer - Buck Spike",1,9,0.111111111111111,"march.2016"
"B08","Deer - Buck Young Button",0,9,0,"march.2016"
"B10","Deer - Buck Young Button",0,9,0,"march.2016"
"C09","Deer - Buck Young Button",0,9,0,"march.2016"
"D04","Deer - Buck Young Button",0,10,0,"march.2016"
"E09","Deer - Buck Young Button",0,9,0,"march.2016"
"F08","Deer - Buck Young Button",1,9,0.111111111111111,"march.2016"
"B08","Deer - Doe",3,9,0.333333333333333,"march.2016"
"B10","Deer - Doe",0,9,0,"march.2016"
"C09","Deer - Doe",5,9,0.555555555555556,"march.2016"
"D04","Deer - Doe",3,10,0.3,"march.2016"
"E09","Deer - Doe",8,9,0.888888888888889,"march.2016"
"F08","Deer - Doe",9,9,1,"march.2016"
"B08","Deer - Other",0,9,0,"march.2016"
"B10","Deer - Other",1,9,0.111111111111111,"march.2016"
"C09","Deer - Other",1,9,0.111111111111111,"march.2016"
"D04","Deer - Other",0,10,0,"march.2016"
"E09","Deer - Other",4,9,0.444444444444444,"march.2016"
"F08","Deer - Other",3,9,0.333333333333333,"march.2016"
"B08","Human",1,9,0.111111111111111,"march.2016"
"B10","Human",1,9,0.111111111111111,"march.2016"
"C09","Human",1,9,0.111111111111111,"march.2016"
"D04","Human",1,10,0.1,"march.2016"
"E09","Human",1,9,0.111111111111111,"march.2016"
"F08","Human",1,9,0.111111111111111,"march.2016"
"B08","Pig",0,9,0,"march.2016"
"B10","Pig",0,9,0,"march.2016"
"C09","Pig",0,9,0,"march.2016"
"D04","Pig",0,10,0,"march.2016"
"E09","Pig",0,9,0,"march.2016"
"F08","Pig",1,9,0.111111111111111,"march.2016"
"B08","Skunk",0,9,0,"march.2016"
"B10","Skunk",0,9,0,"march.2016"
"C09","Skunk",0,9,0,"march.2016"
"D04","Skunk",0,10,0,"march.2016"
"E09","Skunk",0,9,0,"march.2016"
"F08","Skunk",1,9,0.111111111111111,"march.2016"
"B08","Squirrel",0,9,0,"march.2016"
"B10","Squirrel",1,9,0.111111111111111,"march.2016"
"C09","Squirrel",0,9,0,"march.2016"
"D04","Squirrel",0,10,0,"march.2016"
"E09","Squirrel",0,9,0,"march.2016"
"F08","Squirrel",0,9,0,"march.2016"
"B08","Vehicle",0,9,0,"march.2016"
"B10","Vehicle",0,9,0,"march.2016"
"C09","Vehicle",0,9,0,"march.2016"
"D04","Vehicle",0,10,0,"march.2016"
"E09","Vehicle",1,9,0.111111111111111,"march.2016"
"F08","Vehicle",0,9,0,"march.2016"
"B08","Bobcat",0,9,0,"march.2016"
"B10","Bobcat",0,9,0,"march.2016"
"C09","Bobcat",0,9,0,"march.2016"
"D04","Bobcat",0,10,0,"march.2016"
"E09","Bobcat",0,9,0,"march.2016"
"F08","Bobcat",0,9,0,"march.2016"
"B08","Deer_Doe",0,9,0,"march.2016"
"B10","Deer_Doe",0,9,0,"march.2016"
"C09","Deer_Doe",0,9,0,"march.2016"
"D04","Deer_Doe",0,10,0,"march.2016"
"E09","Deer_Doe",0,9,0,"march.2016"
"F08","Deer_Doe",0,9,0,"march.2016"
"B08","Deer_Other",0,9,0,"march.2016"
"B10","Deer_Other",0,9,0,"march.2016"
"C09","Deer_Other",0,9,0,"march.2016"
"D04","Deer_Other",0,10,0,"march.2016"
"E09","Deer_Other",0,9,0,"march.2016"
"F08","Deer_Other",0,9,0,"march.2016"
"B08","Deer_Fawn",0,9,0,"march.2016"
"B10","Deer_Fawn",0,9,0,"march.2016"
"C09","Deer_Fawn",0,9,0,"march.2016"
"D04","Deer_Fawn",0,10,0,"march.2016"
"E09","Deer_Fawn",0,9,0,"march.2016"
"F08","Deer_Fawn",0,9,0,"march.2016"
"B08","Deer_Buck_Legal",0,9,0,"march.2016"
"B10","Deer_Buck_Legal",0,9,0,"march.2016"
"C09","Deer_Buck_Legal",0,9,0,"march.2016"
"D04","Deer_Buck_Legal",0,10,0,"march.2016"
"E09","Deer_Buck_Legal",0,9,0,"march.2016"
"F08","Deer_Buck_Legal",0,9,0,"march.2016"
"B08","Deer_Buck_Spike",0,9,0,"march.2016"
"B10","Deer_Buck_Spike",0,9,0,"march.2016"
"C09","Deer_Buck_Spike",0,9,0,"march.2016"
"D04","Deer_Buck_Spike",0,10,0,"march.2016"
"E09","Deer_Buck_Spike",0,9,0,"march.2016"
"F08","Deer_Buck_Spike",0,9,0,"march.2016"
"B08","Deer_Buck_Young_Button",0,9,0,"march.2016"
"B10","Deer_Buck_Young_Button",0,9,0,"march.2016"
"C09","Deer_Buck_Young_Button",0,9,0,"march.2016"
"D04","Deer_Buck_Young_Button",0,10,0,"march.2016"
"E09","Deer_Buck_Young_Button",0,9,0,"march.2016"
"F08","Deer_Buck_Young_Button",0,9,0,"march.2016"
"B08","Deer_Buck_Antlerless",0,9,0,"march.2016"
"B10","Deer_Buck_Antlerless",0,9,0,"march.2016"
"C09","Deer_Buck_Antlerless",0,9,0,"march.2016"
"D04","Deer_Buck_Antlerless",0,10,0,"march.2016"
"E09","Deer_Buck_Antlerless",0,9,0,"march.2016"
"F08","Deer_Buck_Antlerless",0,9,0,"march.2016"
"B08","Fox",0,9,0,"march.2016"
"B10","Fox",0,9,0,"march.2016"
