"Camera","Class","Count","Operation","RAI","TimePeriod"
"A03","Bat",0,615,0,"record.table.phase1"
"A13","Bat",0,609,0,"record.table.phase1"
"B02","Bat",0,499,0,"record.table.phase1"
"B04","Bat",2,587,0.00340715502555366,"record.table.phase1"
"B06","Bat",0,582,0,"record.table.phase1"
"B08","Bat",0,624,0,"record.table.phase1"
"B10","Bat",0,621,0,"record.table.phase1"
"B12","Bat",0,603,0,"record.table.phase1"
"B14","Bat",0,603,0,"record.table.phase1"
"C03","Bat",0,621,0,"record.table.phase1"
"C05","Bat",1,573,0.00174520069808028,"record.table.phase1"
"C07","Bat",0,545,0,"record.table.phase1"
"C09","Bat",2,617,0.00324149108589951,"record.table.phase1"
"C11","Bat",3,486,0.00617283950617284,"record.table.phase1"
"C15","Bat",0,567,0,"record.table.phase1"
"C17","Bat",0,568,0,"record.table.phase1"
"D04","Bat",5,631,0.00792393026941363,"record.table.phase1"
"D06","Bat",0,577,0,"record.table.phase1"
"D08","Bat",0,388,0,"record.table.phase1"
"D10","Bat",0,422,0,"record.table.phase1"
"D12","Bat",0,623,0,"record.table.phase1"
"D14","Bat",0,573,0,"record.table.phase1"
"D16","Bat",0,554,0,"record.table.phase1"
"E05","Bat",0,615,0,"record.table.phase1"
"E07","Bat",0,575,0,"record.table.phase1"
"E09","Bat",1,620,0.00161290322580645,"record.table.phase1"
"E11","Bat",0,576,0,"record.table.phase1"
"E13","Bat",0,620,0,"record.table.phase1"
"E15","Bat",0,613,0,"record.table.phase1"
"E17","Bat",0,586,0,"record.table.phase1"
"F04","Bat",0,507,0,"record.table.phase1"
"F06","Bat",0,622,0,"record.table.phase1"
"F08","Bat",0,617,0,"record.table.phase1"
"F10","Bat",0,618,0,"record.table.phase1"
"G09","Bat",1,589,0.00169779286926995,"record.table.phase1"
"G11","Bat",0,590,0,"record.table.phase1"
"A03","Bear",0,615,0,"record.table.phase1"
"A13","Bear",0,609,0,"record.table.phase1"
"B02","Bear",7,499,0.0140280561122244,"record.table.phase1"
"B04","Bear",3,587,0.00511073253833049,"record.table.phase1"
"B06","Bear",0,582,0,"record.table.phase1"
"B08","Bear",0,624,0,"record.table.phase1"
"B10","Bear",0,621,0,"record.table.phase1"
"B12","Bear",0,603,0,"record.table.phase1"
"B14","Bear",0,603,0,"record.table.phase1"
"C03","Bear",20,621,0.0322061191626409,"record.table.phase1"
"C05","Bear",6,573,0.0104712041884817,"record.table.phase1"
"C07","Bear",0,545,0,"record.table.phase1"
"C09","Bear",0,617,0,"record.table.phase1"
"C11","Bear",0,486,0,"record.table.phase1"
"C15","Bear",0,567,0,"record.table.phase1"
"C17","Bear",0,568,0,"record.table.phase1"
"D04","Bear",9,631,0.0142630744849445,"record.table.phase1"
"D06","Bear",4,577,0.00693240901213172,"record.table.phase1"
"D08","Bear",0,388,0,"record.table.phase1"
"D10","Bear",0,422,0,"record.table.phase1"
"D12","Bear",0,623,0,"record.table.phase1"
"D14","Bear",0,573,0,"record.table.phase1"
"D16","Bear",0,554,0,"record.table.phase1"
"E05","Bear",4,615,0.00650406504065041,"record.table.phase1"
"E07","Bear",3,575,0.00521739130434783,"record.table.phase1"
"E09","Bear",0,620,0,"record.table.phase1"
"E11","Bear",0,576,0,"record.table.phase1"
"E13","Bear",0,620,0,"record.table.phase1"
"E15","Bear",0,613,0,"record.table.phase1"
"E17","Bear",0,586,0,"record.table.phase1"
"F04","Bear",3,507,0.00591715976331361,"record.table.phase1"
"F06","Bear",3,622,0.00482315112540193,"record.table.phase1"
"F08","Bear",4,617,0.00648298217179903,"record.table.phase1"
"F10","Bear",1,618,0.00161812297734628,"record.table.phase1"
"G09","Bear",1,589,0.00169779286926995,"record.table.phase1"
"G11","Bear",3,590,0.00508474576271186,"record.table.phase1"
"A03","Bird",0,615,0,"record.table.phase1"
"A13","Bird",11,609,0.0180623973727422,"record.table.phase1"
"B02","Bird",410,499,0.821643286573146,"record.table.phase1"
"B04","Bird",2,587,0.00340715502555366,"record.table.phase1"
"B06","Bird",1,582,0.00171821305841924,"record.table.phase1"
"B08","Bird",1,624,0.0016025641025641,"record.table.phase1"
"B10","Bird",0,621,0,"record.table.phase1"
"B12","Bird",2,603,0.0033167495854063,"record.table.phase1"
"B14","Bird",34,603,0.0563847429519071,"record.table.phase1"
"C03","Bird",14,621,0.0225442834138486,"record.table.phase1"
"C05","Bird",0,573,0,"record.table.phase1"
"C07","Bird",0,545,0,"record.table.phase1"
"C09","Bird",2,617,0.00324149108589951,"record.table.phase1"
"C11","Bird",4,486,0.00823045267489712,"record.table.phase1"
"C15","Bird",2,567,0.00352733686067019,"record.table.phase1"
"C17","Bird",5,568,0.00880281690140845,"record.table.phase1"
"D04","Bird",3,631,0.00475435816164818,"record.table.phase1"
"D06","Bird",18,577,0.0311958405545927,"record.table.phase1"
"D08","Bird",3,388,0.0077319587628866,"record.table.phase1"
"D10","Bird",1,422,0.0023696682464455,"record.table.phase1"
"D12","Bird",1,623,0.00160513643659711,"record.table.phase1"
"D14","Bird",4,573,0.00698080279232112,"record.table.phase1"
"D16","Bird",2,554,0.0036101083032491,"record.table.phase1"
"E05","Bird",16,615,0.0260162601626016,"record.table.phase1"
"E07","Bird",5,575,0.00869565217391304,"record.table.phase1"
"E09","Bird",10,620,0.0161290322580645,"record.table.phase1"
"E11","Bird",2,576,0.00347222222222222,"record.table.phase1"
"E13","Bird",5,620,0.00806451612903226,"record.table.phase1"
"E15","Bird",0,613,0,"record.table.phase1"
"E17","Bird",63,586,0.107508532423208,"record.table.phase1"
"F04","Bird",5,507,0.00986193293885602,"record.table.phase1"
"F06","Bird",0,622,0,"record.table.phase1"
"F08","Bird",4,617,0.00648298217179903,"record.table.phase1"
"F10","Bird",1,618,0.00161812297734628,"record.table.phase1"
"G09","Bird",0,589,0,"record.table.phase1"
"G11","Bird",3,590,0.00508474576271186,"record.table.phase1"
"A03","Bobcat",1,615,0.0016260162601626,"record.table.phase1"
"A13","Bobcat",3,609,0.00492610837438424,"record.table.phase1"
"B02","Bobcat",6,499,0.0120240480961924,"record.table.phase1"
"B04","Bobcat",6,587,0.010221465076661,"record.table.phase1"
"B06","Bobcat",11,582,0.0189003436426117,"record.table.phase1"
"B08","Bobcat",0,624,0,"record.table.phase1"
"B10","Bobcat",9,621,0.0144927536231884,"record.table.phase1"
"B12","Bobcat",2,603,0.0033167495854063,"record.table.phase1"
"B14","Bobcat",4,603,0.0066334991708126,"record.table.phase1"
"C03","Bobcat",14,621,0.0225442834138486,"record.table.phase1"
"C05","Bobcat",2,573,0.00349040139616056,"record.table.phase1"
"C07","Bobcat",2,545,0.0036697247706422,"record.table.phase1"
"C09","Bobcat",2,617,0.00324149108589951,"record.table.phase1"
"C11","Bobcat",4,486,0.00823045267489712,"record.table.phase1"
"C15","Bobcat",16,567,0.0282186948853616,"record.table.phase1"
"C17","Bobcat",2,568,0.00352112676056338,"record.table.phase1"
"D04","Bobcat",3,631,0.00475435816164818,"record.table.phase1"
"D06","Bobcat",5,577,0.00866551126516464,"record.table.phase1"
"D08","Bobcat",1,388,0.00257731958762887,"record.table.phase1"
"D10","Bobcat",0,422,0,"record.table.phase1"
"D12","Bobcat",5,623,0.00802568218298555,"record.table.phase1"
"D14","Bobcat",10,573,0.0174520069808028,"record.table.phase1"
"D16","Bobcat",2,554,0.0036101083032491,"record.table.phase1"
"E05","Bobcat",6,615,0.00975609756097561,"record.table.phase1"
"E07","Bobcat",2,575,0.00347826086956522,"record.table.phase1"
"E09","Bobcat",1,620,0.00161290322580645,"record.table.phase1"
"E11","Bobcat",2,576,0.00347222222222222,"record.table.phase1"
"E13","Bobcat",4,620,0.00645161290322581,"record.table.phase1"
"E15","Bobcat",18,613,0.0293637846655791,"record.table.phase1"
"E17","Bobcat",2,586,0.00341296928327645,"record.table.phase1"
"F04","Bobcat",5,507,0.00986193293885602,"record.table.phase1"
"F06","Bobcat",1,622,0.00160771704180064,"record.table.phase1"
"F08","Bobcat",6,617,0.00972447325769854,"record.table.phase1"
"F10","Bobcat",0,618,0,"record.table.phase1"
"G09","Bobcat",4,589,0.0067911714770798,"record.table.phase1"
"G11","Bobcat",2,590,0.00338983050847458,"record.table.phase1"
"A03","Coyote",9,615,0.0146341463414634,"record.table.phase1"
"A13","Coyote",27,609,0.0443349753694581,"record.table.phase1"
"B02","Coyote",17,499,0.0340681362725451,"record.table.phase1"
"B04","Coyote",36,587,0.0613287904599659,"record.table.phase1"
"B06","Coyote",18,582,0.0309278350515464,"record.table.phase1"
"B08","Coyote",7,624,0.0112179487179487,"record.table.phase1"
"B10","Coyote",18,621,0.0289855072463768,"record.table.phase1"
"B12","Coyote",18,603,0.0298507462686567,"record.table.phase1"
"B14","Coyote",28,603,0.0464344941956882,"record.table.phase1"
"C03","Coyote",35,621,0.0563607085346216,"record.table.phase1"
"C05","Coyote",8,573,0.0139616055846422,"record.table.phase1"
"C07","Coyote",3,545,0.0055045871559633,"record.table.phase1"
"C09","Coyote",1,617,0.00162074554294976,"record.table.phase1"
"C11","Coyote",13,486,0.0267489711934156,"record.table.phase1"
"C15","Coyote",25,567,0.0440917107583774,"record.table.phase1"
"C17","Coyote",45,568,0.0792253521126761,"record.table.phase1"
"D04","Coyote",68,631,0.107765451664025,"record.table.phase1"
"D06","Coyote",26,577,0.0450606585788562,"record.table.phase1"
"D08","Coyote",3,388,0.0077319587628866,"record.table.phase1"
"D10","Coyote",7,422,0.0165876777251185,"record.table.phase1"
"D12","Coyote",25,623,0.0401284109149278,"record.table.phase1"
"D14","Coyote",13,573,0.0226876090750436,"record.table.phase1"
"D16","Coyote",16,554,0.0288808664259928,"record.table.phase1"
"E05","Coyote",22,615,0.0357723577235772,"record.table.phase1"
"E07","Coyote",9,575,0.0156521739130435,"record.table.phase1"
"E09","Coyote",9,620,0.0145161290322581,"record.table.phase1"
"E11","Coyote",24,576,0.0416666666666667,"record.table.phase1"
"E13","Coyote",15,620,0.0241935483870968,"record.table.phase1"
"E15","Coyote",16,613,0.0261011419249592,"record.table.phase1"
"E17","Coyote",11,586,0.0187713310580205,"record.table.phase1"
"F04","Coyote",10,507,0.019723865877712,"record.table.phase1"
"F06","Coyote",4,622,0.00643086816720257,"record.table.phase1"
"F08","Coyote",9,617,0.0145867098865478,"record.table.phase1"
"F10","Coyote",10,618,0.0161812297734628,"record.table.phase1"
"G09","Coyote",3,589,0.00509337860780985,"record.table.phase1"
"G11","Coyote",8,590,0.0135593220338983,"record.table.phase1"
"A03","Deer - Buck Antlerless",3,615,0.0048780487804878,"record.table.phase1"
"A13","Deer - Buck Antlerless",1,609,0.00164203612479475,"record.table.phase1"
"B02","Deer - Buck Antlerless",10,499,0.0200400801603206,"record.table.phase1"
"B04","Deer - Buck Antlerless",37,587,0.0630323679727428,"record.table.phase1"
"B06","Deer - Buck Antlerless",0,582,0,"record.table.phase1"
"B08","Deer - Buck Antlerless",2,624,0.00320512820512821,"record.table.phase1"
"B10","Deer - Buck Antlerless",1,621,0.00161030595813205,"record.table.phase1"
"B12","Deer - Buck Antlerless",15,603,0.0248756218905473,"record.table.phase1"
"B14","Deer - Buck Antlerless",16,603,0.0265339966832504,"record.table.phase1"
"C03","Deer - Buck Antlerless",5,621,0.00805152979066022,"record.table.phase1"
"C05","Deer - Buck Antlerless",1,573,0.00174520069808028,"record.table.phase1"
"C07","Deer - Buck Antlerless",5,545,0.00917431192660551,"record.table.phase1"
"C09","Deer - Buck Antlerless",2,617,0.00324149108589951,"record.table.phase1"
"C11","Deer - Buck Antlerless",0,486,0,"record.table.phase1"
"C15","Deer - Buck Antlerless",0,567,0,"record.table.phase1"
"C17","Deer - Buck Antlerless",0,568,0,"record.table.phase1"
"D04","Deer - Buck Antlerless",25,631,0.0396196513470681,"record.table.phase1"
"D06","Deer - Buck Antlerless",14,577,0.024263431542461,"record.table.phase1"
"D08","Deer - Buck Antlerless",16,388,0.0412371134020619,"record.table.phase1"
"D10","Deer - Buck Antlerless",2,422,0.004739336492891,"record.table.phase1"
"D12","Deer - Buck Antlerless",18,623,0.028892455858748,"record.table.phase1"
"D14","Deer - Buck Antlerless",4,573,0.00698080279232112,"record.table.phase1"
"D16","Deer - Buck Antlerless",1,554,0.00180505415162455,"record.table.phase1"
"E05","Deer - Buck Antlerless",8,615,0.0130081300813008,"record.table.phase1"
"E07","Deer - Buck Antlerless",10,575,0.0173913043478261,"record.table.phase1"
"E09","Deer - Buck Antlerless",17,620,0.0274193548387097,"record.table.phase1"
"E11","Deer - Buck Antlerless",8,576,0.0138888888888889,"record.table.phase1"
"E13","Deer - Buck Antlerless",1,620,0.00161290322580645,"record.table.phase1"
"E15","Deer - Buck Antlerless",0,613,0,"record.table.phase1"
"E17","Deer - Buck Antlerless",0,586,0,"record.table.phase1"
"F04","Deer - Buck Antlerless",13,507,0.0256410256410256,"record.table.phase1"
"F06","Deer - Buck Antlerless",1,622,0.00160771704180064,"record.table.phase1"
"F08","Deer - Buck Antlerless",6,617,0.00972447325769854,"record.table.phase1"
"F10","Deer - Buck Antlerless",10,618,0.0161812297734628,"record.table.phase1"
"G09","Deer - Buck Antlerless",3,589,0.00509337860780985,"record.table.phase1"
"G11","Deer - Buck Antlerless",2,590,0.00338983050847458,"record.table.phase1"
"A03","Deer - Buck Legal",44,615,0.0715447154471545,"record.table.phase1"
"A13","Deer - Buck Legal",35,609,0.0574712643678161,"record.table.phase1"
"B02","Deer - Buck Legal",190,499,0.380761523046092,"record.table.phase1"
"B04","Deer - Buck Legal",157,587,0.267461669505963,"record.table.phase1"
"B06","Deer - Buck Legal",54,582,0.0927835051546392,"record.table.phase1"
"B08","Deer - Buck Legal",52,624,0.0833333333333333,"record.table.phase1"
"B10","Deer - Buck Legal",40,621,0.0644122383252818,"record.table.phase1"
"B12","Deer - Buck Legal",39,603,0.0646766169154229,"record.table.phase1"
"B14","Deer - Buck Legal",132,603,0.218905472636816,"record.table.phase1"
"C03","Deer - Buck Legal",124,621,0.199677938808374,"record.table.phase1"
"C05","Deer - Buck Legal",15,573,0.0261780104712042,"record.table.phase1"
"C07","Deer - Buck Legal",60,545,0.110091743119266,"record.table.phase1"
"C09","Deer - Buck Legal",15,617,0.0243111831442464,"record.table.phase1"
"C11","Deer - Buck Legal",5,486,0.0102880658436214,"record.table.phase1"
"C15","Deer - Buck Legal",34,567,0.0599647266313933,"record.table.phase1"
"C17","Deer - Buck Legal",16,568,0.028169014084507,"record.table.phase1"
"D04","Deer - Buck Legal",106,631,0.167987321711569,"record.table.phase1"
"D06","Deer - Buck Legal",118,577,0.204506065857886,"record.table.phase1"
"D08","Deer - Buck Legal",20,388,0.0515463917525773,"record.table.phase1"
"D10","Deer - Buck Legal",19,422,0.0450236966824645,"record.table.phase1"
"D12","Deer - Buck Legal",6,623,0.00963081861958266,"record.table.phase1"
"D14","Deer - Buck Legal",22,573,0.0383944153577661,"record.table.phase1"
"D16","Deer - Buck Legal",31,554,0.055956678700361,"record.table.phase1"
"E05","Deer - Buck Legal",67,615,0.108943089430894,"record.table.phase1"
"E07","Deer - Buck Legal",39,575,0.0678260869565217,"record.table.phase1"
"E09","Deer - Buck Legal",44,620,0.0709677419354839,"record.table.phase1"
"E11","Deer - Buck Legal",60,576,0.104166666666667,"record.table.phase1"
"E13","Deer - Buck Legal",28,620,0.0451612903225806,"record.table.phase1"
"E15","Deer - Buck Legal",32,613,0.0522022838499184,"record.table.phase1"
"E17","Deer - Buck Legal",6,586,0.0102389078498294,"record.table.phase1"
"F04","Deer - Buck Legal",38,507,0.0749506903353057,"record.table.phase1"
"F06","Deer - Buck Legal",16,622,0.0257234726688103,"record.table.phase1"
"F08","Deer - Buck Legal",103,617,0.166936790923825,"record.table.phase1"
"F10","Deer - Buck Legal",24,618,0.0388349514563107,"record.table.phase1"
"G09","Deer - Buck Legal",125,589,0.212224108658744,"record.table.phase1"
"G11","Deer - Buck Legal",27,590,0.0457627118644068,"record.table.phase1"
"A03","Deer - Buck Spike",13,615,0.0211382113821138,"record.table.phase1"
"A13","Deer - Buck Spike",11,609,0.0180623973727422,"record.table.phase1"
"B02","Deer - Buck Spike",106,499,0.212424849699399,"record.table.phase1"
"B04","Deer - Buck Spike",72,587,0.122657580919932,"record.table.phase1"
"B06","Deer - Buck Spike",28,582,0.0481099656357388,"record.table.phase1"
"B08","Deer - Buck Spike",16,624,0.0256410256410256,"record.table.phase1"
"B10","Deer - Buck Spike",15,621,0.0241545893719807,"record.table.phase1"
"B12","Deer - Buck Spike",20,603,0.033167495854063,"record.table.phase1"
"B14","Deer - Buck Spike",191,603,0.316749585406302,"record.table.phase1"
"C03","Deer - Buck Spike",26,621,0.0418679549114332,"record.table.phase1"
"C05","Deer - Buck Spike",10,573,0.0174520069808028,"record.table.phase1"
"C07","Deer - Buck Spike",52,545,0.0954128440366973,"record.table.phase1"
"C09","Deer - Buck Spike",6,617,0.00972447325769854,"record.table.phase1"
"C11","Deer - Buck Spike",5,486,0.0102880658436214,"record.table.phase1"
"C15","Deer - Buck Spike",25,567,0.0440917107583774,"record.table.phase1"
"C17","Deer - Buck Spike",29,568,0.051056338028169,"record.table.phase1"
"D04","Deer - Buck Spike",46,631,0.0729001584786054,"record.table.phase1"
"D06","Deer - Buck Spike",27,577,0.0467937608318891,"record.table.phase1"
"D08","Deer - Buck Spike",7,388,0.0180412371134021,"record.table.phase1"
"D10","Deer - Buck Spike",11,422,0.0260663507109005,"record.table.phase1"
"D12","Deer - Buck Spike",16,623,0.0256821829855538,"record.table.phase1"
"D14","Deer - Buck Spike",11,573,0.0191972076788831,"record.table.phase1"
"D16","Deer - Buck Spike",16,554,0.0288808664259928,"record.table.phase1"
"E05","Deer - Buck Spike",153,615,0.248780487804878,"record.table.phase1"
"E07","Deer - Buck Spike",20,575,0.0347826086956522,"record.table.phase1"
"E09","Deer - Buck Spike",31,620,0.05,"record.table.phase1"
"E11","Deer - Buck Spike",19,576,0.0329861111111111,"record.table.phase1"
"E13","Deer - Buck Spike",15,620,0.0241935483870968,"record.table.phase1"
"E15","Deer - Buck Spike",5,613,0.00815660685154975,"record.table.phase1"
"E17","Deer - Buck Spike",1,586,0.00170648464163823,"record.table.phase1"
"F04","Deer - Buck Spike",36,507,0.0710059171597633,"record.table.phase1"
"F06","Deer - Buck Spike",13,622,0.0209003215434084,"record.table.phase1"
"F08","Deer - Buck Spike",60,617,0.0972447325769854,"record.table.phase1"
"F10","Deer - Buck Spike",25,618,0.040453074433657,"record.table.phase1"
"G09","Deer - Buck Spike",40,589,0.067911714770798,"record.table.phase1"
"G11","Deer - Buck Spike",14,590,0.023728813559322,"record.table.phase1"
"A03","Deer - Buck Young Button",5,615,0.00813008130081301,"record.table.phase1"
"A13","Deer - Buck Young Button",0,609,0,"record.table.phase1"
"B02","Deer - Buck Young Button",4,499,0.00801603206412826,"record.table.phase1"
"B04","Deer - Buck Young Button",29,587,0.0494037478705281,"record.table.phase1"
"B06","Deer - Buck Young Button",2,582,0.00343642611683849,"record.table.phase1"
"B08","Deer - Buck Young Button",1,624,0.0016025641025641,"record.table.phase1"
"B10","Deer - Buck Young Button",2,621,0.00322061191626409,"record.table.phase1"
"B12","Deer - Buck Young Button",5,603,0.00829187396351575,"record.table.phase1"
"B14","Deer - Buck Young Button",25,603,0.0414593698175788,"record.table.phase1"
"C03","Deer - Buck Young Button",4,621,0.00644122383252818,"record.table.phase1"
"C05","Deer - Buck Young Button",0,573,0,"record.table.phase1"
"C07","Deer - Buck Young Button",1,545,0.0018348623853211,"record.table.phase1"
"C09","Deer - Buck Young Button",0,617,0,"record.table.phase1"
"C11","Deer - Buck Young Button",0,486,0,"record.table.phase1"
"C15","Deer - Buck Young Button",4,567,0.00705467372134039,"record.table.phase1"
"C17","Deer - Buck Young Button",1,568,0.00176056338028169,"record.table.phase1"
"D04","Deer - Buck Young Button",4,631,0.0063391442155309,"record.table.phase1"
"D06","Deer - Buck Young Button",13,577,0.0225303292894281,"record.table.phase1"
"D08","Deer - Buck Young Button",4,388,0.0103092783505155,"record.table.phase1"
"D10","Deer - Buck Young Button",10,422,0.023696682464455,"record.table.phase1"
"D12","Deer - Buck Young Button",3,623,0.00481540930979133,"record.table.phase1"
"D14","Deer - Buck Young Button",1,573,0.00174520069808028,"record.table.phase1"
"D16","Deer - Buck Young Button",0,554,0,"record.table.phase1"
"E05","Deer - Buck Young Button",4,615,0.00650406504065041,"record.table.phase1"
"E07","Deer - Buck Young Button",10,575,0.0173913043478261,"record.table.phase1"
"E09","Deer - Buck Young Button",0,620,0,"record.table.phase1"
"E11","Deer - Buck Young Button",21,576,0.0364583333333333,"record.table.phase1"
"E13","Deer - Buck Young Button",0,620,0,"record.table.phase1"
"E15","Deer - Buck Young Button",15,613,0.0244698205546493,"record.table.phase1"
"E17","Deer - Buck Young Button",3,586,0.00511945392491468,"record.table.phase1"
"F04","Deer - Buck Young Button",8,507,0.0157790927021696,"record.table.phase1"
"F06","Deer - Buck Young Button",9,622,0.0144694533762058,"record.table.phase1"
"F08","Deer - Buck Young Button",5,617,0.00810372771474878,"record.table.phase1"
"F10","Deer - Buck Young Button",12,618,0.0194174757281553,"record.table.phase1"
"G09","Deer - Buck Young Button",16,589,0.0271646859083192,"record.table.phase1"
"G11","Deer - Buck Young Button",8,590,0.0135593220338983,"record.table.phase1"
"A03","Deer - Doe",119,615,0.19349593495935,"record.table.phase1"
"A13","Deer - Doe",42,609,0.0689655172413793,"record.table.phase1"
"B02","Deer - Doe",71,499,0.142284569138277,"record.table.phase1"
"B04","Deer - Doe",1101,587,1.87563884156729,"record.table.phase1"
"B06","Deer - Doe",157,582,0.269759450171821,"record.table.phase1"
"B08","Deer - Doe",96,624,0.153846153846154,"record.table.phase1"
"B10","Deer - Doe",43,621,0.0692431561996779,"record.table.phase1"
