Camera,Latitude,Longitude,Start,End,Problem1_from,Problem1_to,Notes
A03,39.0347,-123.10165,4/2/16,12/7/17,,,
A13,39.00059,-123.10008,4/13/16,12/12/17,,,
B02,39.03789,-123.09434,5/6/16,12/7/17,8/16/16,11/5/16,camera dead from 8/16/16 to 11/5/16
B04,39.03127,-123.09418,5/6/16,12/13/17,,,
B06,39.02517,-123.09378,5/5/16,12/7/17,,,
B08,39.0181,-123.0933,3/23/16,12/15/17,,,
B10,39.01139,-123.09276,3/23/16,12/12/17,,,
B12,39.0043,-123.09306,4/13/16,12/6/17,,,
B14,38.99797,-123.09263,4/13/16,12/6/17,,,
C03,39.03551,-123.08639,4/3/16,12/14/17,,,
C05,39.02836,-123.08619,5/11/16,12/4/17,,,
C07,39.02201,-123.08588,4/8/16,12/15/17,8/6/17,10/16/17,photos missing - SD card burned
C09,39.01465,-123.08611,3/23/16,12/8/17,,,
C11,39.0082,-123.08518,4/2/16,12/15/17,7/20/16,12/3/16,photos missing - SD card burned
C15,38.99488,-123.08437,5/19/16,12/6/17,,,
C17,38.98819,-123.08453,5/19/16,12/7/17,,,
D04,39.032,-123.07932,3/22/16,12/22/17,,,
D06,39.02524,-123.0786,5/11/16,12/8/17,,,
D08,39.01839,-123.07802,5/21/16,12/8/17,6/27/16,12/22/16,photos missing - suspect cleared from SD cards
D10,39.01199,-123.07796,5/17/16,12/15/17,7/20/16,12/22/16,photos missing - suspect cleared from SD cards
D12,39.00478,-123.07772,4/2/16,12/15/17,,,
D14,38.99776,-123.07731,5/19/16,12/12/17,,,
D16,38.99145,-123.07739,6/7/16,12/12/17,,,
E05,39.02881,-123.07079,4/3/16,12/8/17,,,
E07,39.0221,-123.0712,5/13/16,12/8/17,,,
E09,39.0153,-123.0707,3/23/16,12/11/17,,,
E11,39.00868,-123.07081,5/19/16,12/15/17,,,
E13,39.00151,-123.07004,4/2/16,12/12/17,,,
E15,38.99478,-123.06953,4/9/16,12/12/17,,,
E17,38.98867,-123.06975,5/1/16,12/7/17,,,
F04,39.03244,-123.06379,7/25/16,12/13/17,,,
F06,39.02548,-123.06373,4/3/16,12/15/17,,,
F08,39.01849,-123.06368,3/23/16,12/8/17,,,
F10,39.01194,-123.063,4/3/16,12/11/17,,,
G09,39.01552,-123.05519,5/13/16,12/22/17,,,
G11,39.009,-123.05591,5/12/16,12/22/17,,,
