Camera,Start,End,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem1_notes,Problem2_notes
A03,12/7/17,12/6/18,6/4/18,8/3/18,,,lost data due to burned cam,
A13,12/12/17,12/11/18,,,,,,
B02,12/7/17,12/17/18,7/27/18,8/3/18,,,"consider throwing out april to may; grass was extremely tall, and there was only a single deer detection in this two month window. essentially wasn't getting anything",
B04,12/13/17,12/6/18,,,,,,
B06,12/7/17,12/6/18,7/27/18,8/3/18,,,"fire damaged camera, data lost between fire to check",
B08,12/15/17,11/28/18,,,,,,
B10,12/12/17,11/28/18,,,,,,
B12,12/6/17,12/11/18,,,,,,
B14,12/6/17,12/18/18,,,,,,
C03,12/14/17,11/28/18,,,,,,
C05,12/4/17,12/19/18,6/11/18,8/7/18,8/15/18,12/19/18,lost data due to burned cam,batteries died a week after camera was set up
C07,12/15/17,12/17/18,5/31/18,8/6/18,,,lost data due to burned cam,
C09,12/8/17,12/17/18,,,,,,
C11,12/15/17,12/12/18,6/8/18,8/2/18,,,lost data due to burned cam,
C15,12/6/17,12/18/18,,,,,,
C17,12/7/17,12/18/18,,,,,,
D04,12/22/17,12/17/18,,,,,,
D06,12/8/17,12/19/18,7/27/18,8/1/18,,,"fire damaged camera, data lost between fire to check",
D08,12/8/17,12/19/18,,,,,,
D10,12/15/17,12/13/18,7/27/18,12/13/18,,,"fire damaged camera, data lost between fire to check; then lost again because the Bushnell that went up to replace it failed",
D12,12/15/17,12/12/18,,,,,,
D14,12/12/17,11/20/18,,,,,,
D16,12/12/17,12/12/18,,,,,,
E05,12/8/17,11/28/18,,,,,,
E07,12/8/17,12/19/18,,,,,,
E09,12/11/17,11/27/18,,,,,,
E11,12/15/17,12/13/18,,,,,,
E13,12/12/17,12/11/18,,,,,,
E15,12/12/17,12/11/18,,,,,,
E17,12/7/17,12/12/18,6/7/18,6/12/18,,,cam pulled during prescribed burn,
F04,12/13/17,12/19/18,6/1/18,8/6/18,,,data lost due to burned cam,
F06,12/15/17,11/28/18,7/27/18,8/6/18,,,"fire damaged camera, data lost between fire to check",
F08,12/8/17,11/28/18,,,,,,
F10,12/11/17,12/13/18,7/27/18,8/6/18,,,"fire damaged camera, data lost between fire to check",
G09,12/22/17,12/13/18,7/27/18,8/8/18,,,"fire damaged camera, data lost between fire to check",
G11,12/22/17,12/13/18,,,,,,
