Camera,Start,End,Problem1_from,Problem1_to,Problem1_notes
A03,12/6/18,12/19/19,,,
A13,12/11/18,12/18/19,,,
B02,12/17/18,12/9/19,,,
B04,12/6/18,12/9/19,,,
B06,12/6/18,12/9/19,,,
B08,11/28/18,12/9/19,,,
B10,11/28/18,12/9/19,,,
B12,12/11/18,12/20/19,,,
B14,12/18/18,11/13/19,,,
C03,11/28/18,12/17/19,3/15/19,3/28/19,camera died
C05,12/19/18,12/17/19,,,
C07,12/17/18,12/27/19,,,
C09,12/17/18,12/27/19,,,
C11,12/12/18,12/10/19,,,
C15,12/18/18,12/18/19,,,
C17,12/18/18,12/18/19,,,
D04,12/17/18,12/11/19,,,
D06,12/19/18,12/17/19,5/2/19,6/26/19,Grass over camera
D08,12/19/18,12/17/19,4/26/19,6/25/19,Grass over camera
D10,12/13/18,12/17/19,4/26/19,6/21/19,Grass over camera
D12,12/12/18,12/10/19,,,
D14,11/20/18,12/18/19,,,
D16,12/12/18,12/27/19,,,
E05,11/28/18,12/10/19,,,
E07,12/19/18,12/17/19,,,
E09,11/27/18,12/10/19,,,
E11,12/13/18,12/19/19,,,
E13,12/11/18,12/18/19,,,
E15,12/11/18,12/18/19,,,
E17,12/12/18,12/18/19,,,
F04,12/19/18,12/10/19,,,
F06,11/28/18,12/10/19,,,
F08,1/9/19,12/10/19,,,
F10,12/13/18,12/20/19,,,
G09,12/13/18,12/20/19,,,
G11,12/13/18,12/20/19,,,
