Camera,Start,End,Problem1_from,Problem1_to,Problem1_notes,Problem2_from,Problem2_to,Problem2_notes
A03,12/19/19,3/30/21,,,,,,
A13,12/18/19,3/28/21,,,,,,
B02,12/9/19,3/16/21,,,,,,
B04,12/9/19,3/23/21,,,,,,
B06,12/9/19,3/31/21,,,,,,
B08,12/9/19,3/31/21,,,,,,
B10,12/9/19,3/31/21,,,,,,
B12,12/20/19,3/7/21,,,,,,
B14,12/18/19,3/30/21,,,,,,
C03,12/17/19,3/31/21,,,,,,
C05,12/17/19,3/31/21,4/22/20,5/27/20,"SD card full, stopped taking pictures",6/20/20,9/23/20,"Camera died, stopped taking pictures"
C07,12/27/19,4/3/21,,,,,,
C09,12/27/19,3/16/21,,,,,,
C11,12/10/19,3/23/21,,,,,,
C15,12/18/19,3/12/21,,,,,,
C17,12/17/19,3/7/21,,,,,,
D04,12/11/19,3/25/21,6/19/20,9/23/20,camera batteries died,,,
D06,12/17/19,3/20/21,8/3/20,9/22/20,"SD card full, stopped taking pictures",,,
D08,12/17/19,3/31/21,8/19/20,9/22/20,"SD card full, stopped taking pictures",,,
D10,12/17/19,3/11/21,8/26/20,9/24/20,Tree fell blocking camera,,,
D12,12/10/19,3/23/21,7/28/20,9/9/20,"Tree fell, blocking camera",,,
D14,12/18/19,3/19/21,,,,,,
D16,12/27/19,3/24/21,,,,,,
E05,12/10/19,3/17/21,,,,,,
E07,12/17/19,3/11/21,7/1/20,9/22/20,"SD card full, stopped taking pictures",,,
E09,12/10/19,3/8/21,11/21/20,3/8/21,Camera malfunctioning and died from taking too many pictures,,,
E11,12/19/19,4/2/21,,,,,,
E13,12/18/19,3/28/21,,,,,,
E15,12/18/19,3/19/21,,,,,,
E17,12/18/19,3/25/21,4/2/20,6/11/20,Camera batteries died,12/28/20,3/25/21,Camera batteries died
F04,12/10/19,3/12/21,5/3/20,5/28/20,camera covered in grass,12/28/20,3/31/21,Camera batteries died
F06,12/10/19,3/29/21,,,,,,
F08,12/10/19,3/15/21,,,,,,
F10,12/20/19,3/15/21,,,,,,
G09,12/20/19,4/2/21,,,,,,
G11,12/20/19,3/8/21,,,,,,
