Camera,Month,Bobcat_RAI,Sheep_RAI,Sheep,Dog_RAI,Dog,Individual_Dog,Fire,Season
A03,april.2016,0,0,N,0,N,,N,Spring
A13,april.2016,0,0,N,0,N,,N,Spring
B08,april.2016,0,0,N,0,N,,N,Spring
B10,april.2016,0,0,N,0,N,,N,Spring
B12,april.2016,0,0,N,0,N,,N,Spring
B14,april.2016,0,0,N,0,N,,N,Spring
C03,april.2016,0,0,N,0,N,,N,Spring
C07,april.2016,0,0,N,0,N,,N,Spring
C09,april.2016,0,0,N,0,N,,N,Spring
C11,april.2016,0,1.0689655,Y,0.10344828,Y,,N,Spring
D04,april.2016,0,0,N,0,N,,N,Spring
D12,april.2016,0,0,N,0.03448276,Y,,N,Spring
E05,april.2016,0.03571429,0,N,0,N,,N,Spring
E09,april.2016,0,0,N,0,N,,N,Spring
E13,april.2016,0.034482759,0.3448276,Y,0,N,,N,Spring
E15,april.2016,0,0,N,0,N,,N,Spring
F06,april.2016,0,0,N,0,N,,N,Spring
F08,april.2016,0.033333333,0,N,0,N,,N,Spring
F10,april.2016,0,0,N,0,N,,N,Spring
A03,may.2016,0,0,N,0,N,,N,Spring
A13,may.2016,0,0,N,0,N,,N,Spring
B02,may.2016,0,0,N,0,N,,N,Spring
B04,may.2016,0,0,N,0,N,,N,Spring
B06,may.2016,0,0,N,0,N,,N,Spring
B08,may.2016,0,0,N,0,N,,N,Spring
B10,may.2016,0,0,N,0,N,,N,Spring
B12,may.2016,0,0,N,0,N,,N,Spring
B14,may.2016,0,0,N,0,N,,N,Spring
C03,may.2016,0,0,N,0,N,,N,Spring
C05,may.2016,0,0,N,0,N,,N,Spring
C07,may.2016,0,0,N,0,N,,N,Spring
C09,may.2016,0,0,N,0,N,,N,Spring
C11,may.2016,0,2.5483871,Y,0.3225806,Y,,N,Spring
C15,may.2016,0,0,N,0,N,,N,Spring
C17,may.2016,0,0,N,0,N,,N,Spring
D04,may.2016,0,0,N,0,N,,N,Spring
D06,may.2016,0,0,N,0,N,,N,Spring
D08,may.2016,0,0,N,0,N,,N,Spring
D10,may.2016,0,0,N,0,N,,N,Spring
D12,may.2016,0,0,N,0,N,,N,Spring
D14,may.2016,0,0,N,0,N,,N,Spring
E05,may.2016,0,0,N,0,N,,N,Spring
E07,may.2016,0.05263158,0,N,0,N,,N,Spring
E09,may.2016,0,0,N,0,N,,N,Spring
E11,may.2016,0.076923077,0,N,0,N,,N,Spring
E13,may.2016,0,0.1290323,Y,0,N,,N,Spring
E15,may.2016,0,0,N,0,N,,N,Spring
E17,may.2016,0,0.3225806,Y,0.2258065,Y,,N,Spring
F06,may.2016,0,0,N,0,N,,N,Spring
F08,may.2016,0,0,N,0,N,,N,Spring
F10,may.2016,0,0,N,0,N,,N,Spring
G09,may.2016,0,0,N,0,N,,N,Spring
G11,may.2016,0,0,N,0,N,,N,Spring
A03,june.2016,0,0,N,0,N,,N,Summer
A13,june.2016,0,0,N,0,N,,N,Summer
B02,june.2016,0,0,N,0,N,,N,Summer
B04,june.2016,0,0,N,0,N,,N,Summer
B06,june.2016,0.03333333,0,N,0,N,,N,Summer
B08,june.2016,0,0,N,0,N,,N,Summer
B10,june.2016,0,0,N,0,N,,N,Summer
B12,june.2016,0,0,N,0,N,,N,Summer
B14,june.2016,0,0,N,0,N,,N,Summer
C03,june.2016,0,0,N,0,N,,N,Summer
C05,june.2016,0,0,N,0,N,,N,Summer
C07,june.2016,0,0,N,0,N,,N,Summer
C09,june.2016,0,0,N,0,N,,N,Summer
C11,june.2016,0,1.9666667,Y,0.36666667,Y,,N,Summer
