Camera,Month,Bobcat_RAI,Sheep_RAI,Sheep,Dog_RAI,Dog,Individual_Dog
A03,april.2016,0,0,N,0,,
A13,april.2016,0,0,N,0,,
B02,april.2016,NA,,,,,
B04,april.2016,,,,,,
B06,april.2016,,,,,,
B08,april.2016,0,0,N,0,,
B10,april.2016,0,0,N,0,,
B12,april.2016,0,0,N,0,,
B14,april.2016,0,0,N,0,,
C03,april.2016,0,0,N,0,,
C05,april.2016,,,,,,
C07,april.2016,0,0,N,0,,
C09,april.2016,0,0,N,0,,
C11,april.2016,0,1.0689655,Y,0.10344828,Y,
C15,april.2016,,,,,,
C17,april.2016,,,,,,
D04,april.2016,0,0,N,0,,
D06,april.2016,,,,,,
D08,april.2016,,,,,,
D10,april.2016,,,,,,
D12,april.2016,0,0,N,0.03448276,,
D14,april.2016,,,,,,
D16,april.2016,,,,,,
E05,april.2016,0.03571429,0,N,0,,
E07,april.2016,,,,,,
E09,april.2016,0,0,N,0,,
E11,april.2016,,,,,,
E13,april.2016,0.034482759,0.3448276,Y,0,,
E15,april.2016,0,0,N,0,,
E17,april.2016,,,,,,
F04,april.2016,,,,,,
F06,april.2016,0,0,N,0,,
F08,april.2016,0.033333333,0,N,0,,
F10,april.2016,0,0,N,0,,
G09,april.2016,,,,,,
G11,april.2016,,,,,,
A03,may.2016,0,0,N,0,N,
A13,may.2016,0,0,N,0,N,
B02,may.2016,0,0,N,0,N,
B04,may.2016,0,0,N,0,N,
B06,may.2016,0,0,N,0,N,
B08,may.2016,0,0,N,0,N,
B10,may.2016,0,0,N,0,N,
B12,may.2016,0,0,N,0,N,
B14,may.2016,0,0,N,0,N,
C03,may.2016,0,0,N,0,N,
C05,may.2016,0,0,N,0,N,
C07,may.2016,0,0,N,0,N,
C09,may.2016,0,0,N,0,N,
C11,may.2016,0,2.5483871,Y,0.3225806,,
C15,may.2016,0,0,N,0,N,
C17,may.2016,0,0,N,0,N,
D04,may.2016,0,0,N,0,N,
D06,may.2016,0,0,N,0,N,
D08,may.2016,0,0,N,0,N,
D10,may.2016,0,0,N,0,N,
D12,may.2016,0,0,N,0,N,
D14,may.2016,0,0,N,0,N,
D16,may.2016,,,,,,
E05,may.2016,0,0,N,0,N,
E07,may.2016,0.05263158,0,N,0,N,
E09,may.2016,0,0,N,0,N,
E11,may.2016,0.076923077,0,N,0,N,
E13,may.2016,0,0.1290323,Y,0,N,
E15,may.2016,0,0,N,0,N,
E17,may.2016,0,0.3225806,Y,0.2258065,,
F04,may.2016,,,,,,
F06,may.2016,0,0,N,0,N,
F08,may.2016,0,0,N,0,N,
F10,may.2016,0,0,N,0,N,
G09,may.2016,0,0,N,0,N,
G11,may.2016,0,0,N,0,N,
A03,june.2016,0,0,N,0,N,
A13,june.2016,0,0,N,0,N,
B02,june.2016,0,0,N,0,N,
B04,june.2016,0,0,N,0,N,
B06,june.2016,0.03333333,0,N,0,N,
B08,june.2016,0,0,N,0,N,
B10,june.2016,0,0,N,0,N,
B12,june.2016,0,0,N,0,N,
B14,june.2016,0,0,N,0,N,
C03,june.2016,0,0,N,0,N,
C05,june.2016,0,0,N,0,N,
C07,june.2016,0,0,N,0,N,
C09,june.2016,0,0,N,0,N,
C11,june.2016,0,1.9666667,Y,0.36666667,Y,
C15,june.2016,0,0,N,0,N,
C17,june.2016,0,0,N,0,N,
D04,june.2016,0,0,N,0,N,
D06,june.2016,0,0,N,0,N,
D08,june.2016,0,0,N,0,N,
D10,june.2016,0,0,N,0,N,
D12,june.2016,0,0,N,0,N,
D14,june.2016,0,0.3666667,Y,0.06666667,Y,
D16,june.2016,0,0,N,0,N,
E05,june.2016,0,0,N,0,N,
E07,june.2016,0,0,N,0,N,
E09,june.2016,0,0,N,0,N,
E11,june.2016,0,0,N,0,N,
E13,june.2016,0,0,N,0,N,
E15,june.2016,0,0,N,0,N,
E17,june.2016,0,1.9666667,Y,0.23333333,Y,
F04,june.2016,,,,,,
F06,june.2016,0,0,N,0,N,
F08,june.2016,0,0,N,0,N,
F10,june.2016,0,0,N,0,N,
G09,june.2016,0,0,N,0,N,
G11,june.2016,0,0,N,0,N,
A03,july.2016,0,0,N,0,N,
A13,july.2016,0,0,N,0,N,
B02,july.2016,0.03225806,0,N,0,N,
B04,july.2016,0,0,N,0,N,
B06,july.2016,0.032258065,0,N,0,N,
B08,july.2016,0,0,N,0,N,
B10,july.2016,0,0,N,0,N,
B12,july.2016,0,0,N,0,N,
B14,july.2016,0,0,N,0,N,
C03,july.2016,0,0,N,0,N,
C05,july.2016,0,0,N,0,N,
C07,july.2016,0.03225806,0,N,0,N,
C09,july.2016,0,0,N,0,N,
C11,july.2016,0.157894737,0,N,0,N,
C15,july.2016,0,0,N,0,N,
C17,july.2016,0,0,N,0,N,
D04,july.2016,0,0,N,0,N,
D06,july.2016,0,0,N,0,N,
D08,july.2016,0,0,N,0,N,
D10,july.2016,0,0,N,0,N,
D12,july.2016,0.032258065,0,N,0,N,
D14,july.2016,0,0,N,0,N,
